Coin,Price,24h Change,Market Cap,Time
"CoinMarketCap 20 Index DTF
CMC20",195.53,0.22,0.0,2025-12-12 19:11:38.148472
"Bitcoin
BTC",92305.28,0.13,0.0,2025-12-12 19:11:38.148472
"Ethereum
ETH",3244.49,0.21,0.0,2025-12-12 19:11:38.148472
"Tether
USDT",1.0,0.02,0.0,2025-12-12 19:11:38.148472
"XRP
XRP",2.04,0.04,0.0,2025-12-12 19:11:38.148472
"BNB
BNB",887.31,0.06,0.0,2025-12-12 19:11:38.148472
"USDC
USDC",1.0,0.03,0.0,2025-12-12 19:11:38.148472
"Solana
SOL",139.2,0.38,0.0,2025-12-12 19:11:38.148472
"TRON
TRX",0.2773,0.01,0.0,2025-12-12 19:11:38.148472
"Dogecoin
DOGE",0.141,0.13,0.0,2025-12-12 19:11:38.148472
