Coin,Price,24h Change,Market Cap,Time
"CoinMarketCap 20 Index DTF
CMC20",190.97,0.07,0.0,2025-12-11 19:59:53.523381
"Bitcoin
BTC",90212.01,0.16,0.0,2025-12-11 19:59:53.523381
"Ethereum
ETH",3192.95,0.27,0.0,2025-12-11 19:59:53.523381
"Tether
USDT",1.0,0.01,0.0,2025-12-11 19:59:53.523381
"XRP
XRP",2.0,0.08,0.0,2025-12-11 19:59:53.523381
"BNB
BNB",868.37,0.11,0.0,2025-12-11 19:59:53.523381
"USDC
USDC",0.9999,0.01,0.0,2025-12-11 19:59:53.523381
"Solana
SOL",131.26,0.01,0.0,2025-12-11 19:59:53.523381
"TRON
TRX",0.2813,0.28,0.0,2025-12-11 19:59:53.523381
"Dogecoin
DOGE",0.1378,0.06,0.0,2025-12-11 19:59:53.523381
